chr,bin_index,bin_start,bin_end,CTCF,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K9ac,H4K20me1,gc_content,mfe_kcal,tm_celsius,Normalized efficacy
chr21,0,1,200,0,0,0,0,0,0,0,0,0,,,,
chr21,1,201,400,0,0,0,0,0,0,0,0,0,,,,
chr21,2,401,600,0,0,0,0,0,0,0,0,0,,,,
chr21,3,601,800,0,0,0,0,0,0,0,0,0,,,,
chr21,4,801,1000,0,0,0,0,0,0,0,0,0,,,,
chr21,5,1001,1200,0,0,0,0,0,0,0,0,0,,,,
chr21,6,1201,1400,0,0,0,0,0,0,0,0,0,,,,
chr21,7,1401,1600,0,0,0,0,0,0,0,0,0,,,,
chr21,8,1601,1800,0,0,0,0,0,0,0,0,0,,,,
chr21,9,1801,2000,0,0,0,0,0,0,0,0,0,,,,
chr21,10,2001,2200,0,0,0,0,0,0,0,0,0,,,,
chr21,11,2201,2400,0,0,0,0,0,0,0,0,0,,,,
chr21,12,2401,2600,0,0,0,0,0,0,0,0,0,,,,
chr21,13,2601,2800,0,0,0,0,0,0,0,0,0,,,,
chr21,14,2801,3000,0,0,0,0,0,0,0,0,0,,,,
chr21,15,3001,3200,0,0,0,0,0,0,0,0,0,,,,
chr21,16,3201,3400,0,0,0,0,0,0,0,0,0,,,,
chr21,17,3401,3600,0,0,0,0,0,0,0,0,0,,,,
chr21,18,3601,3800,0,0,0,0,0,0,0,0,0,,,,
chr21,19,3801,4000,0,0,0,0,0,0,0,0,0,,,,
chr21,20,4001,4200,0,0,0,0,0,0,0,0,0,,,,
chr21,21,4201,4400,0,0,0,0,0,0,0,0,0,,,,
chr21,22,4401,4600,0,0,0,0,0,0,0,0,0,,,,
chr21,23,4601,4800,0,0,0,0,0,0,0,0,0,,,,
chr21,24,4801,5000,0,0,0,0,0,0,0,0,0,,,,
chr21,25,5001,5200,0,0,0,0,0,0,0,0,0,,,,
chr21,26,5201,5400,0,0,0,0,0,0,0,0,0,,,,
chr21,27,5401,5600,0,0,0,0,0,0,0,0,0,,,,
chr21,28,5601,5800,0,0,0,0,0,0,0,0,0,,,,
chr21,29,5801,6000,0,0,0,0,0,0,0,0,0,,,,
chr21,30,6001,6200,0,0,0,0,0,0,0,0,0,,,,
chr21,31,6201,6400,0,0,0,0,0,0,0,0,0,,,,
chr21,32,6401,6600,0,0,0,0,0,0,0,0,0,,,,
chr21,33,6601,6800,0,0,0,0,0,0,0,0,0,,,,
chr21,34,6801,7000,0,0,0,0,0,0,0,0,0,,,,
chr21,35,7001,7200,0,0,0,0,0,0,0,0,0,,,,
chr21,36,7201,7400,0,0,0,0,0,0,0,0,0,,,,
chr21,37,7401,7600,0,0,0,0,0,0,0,0,0,,,,
chr21,38,7601,7800,0,0,0,0,0,0,0,0,0,,,,
chr21,39,7801,8000,0,0,0,0,0,0,0,0,0,,,,
chr21,40,8001,8200,0,0,0,0,0,0,0,0,0,,,,
chr21,41,8201,8400,0,0,0,0,0,0,0,0,0,,,,
chr21,42,8401,8600,0,0,0,0,0,0,0,0,0,,,,
chr21,43,8601,8800,0,0,0,0,0,0,0,0,0,,,,
chr21,44,8801,9000,0,0,0,0,0,0,0,0,0,,,,
chr21,45,9001,9200,0,0,0,0,0,0,0,0,0,,,,
chr21,46,9201,9400,0,0,0,0,0,0,0,0,0,,,,
chr21,47,9401,9600,0,0,0,0,0,0,0,0,0,,,,
chr21,48,9601,9800,0,0,0,0,0,0,0,0,0,,,,
